Name in Drilobase 2019;Sub-species in Bouch‚ 1972;Variety in Bouch‚ 1972;Male_pore;Female_pore;Clitellum_start;Clitellum_end;Puberculum_start;Puberculum_end;Heart_type;Heart_start;Heart_end;Morren_gland_start;Morren_gland_end;Morren_gland_diverticules;Crop_start;Crop_end;Ovisac;Oesophagian_gizzard_start;Oesophagian_gizzard_end;Typhlosole_start;Typhlosole_type;Min_length;Max_length;Min_diameter;Max_diameter;Min_weight;Max_weight;Shape;Flattening;Epithelium flexibility;Pigmentation;Body wall;Muscle structure of body wall;Nephridia
Microscolex dubius (Fletcher, 1887);;;17;14;13;17;absent;absent;moniliforme;10;12;absent;absent;absent;absent;absent;absent;absent;absent;absent;;35;70;2;2,5;200;400;cylindrique;aucun;souple;blanc-rosƒtre;‚paisse;longitudinale ‚l‚mentaire;holon‚phridies
Microscolex phosphoreus (Duges, 1837);;;17;14;13;17;absent;absent;moniliforme;10;12;absent;absent;absent;absent;absent;absent;5;5;nd;;10;18;1;1,5;20;20;cylindrique;aucun;souple;aucune;moyenne;longitudinale ‚l‚mentaire;holon‚phridies
Ailoscolex lacteospumosus Bouche, 1969;;;22;14;14;23;22;24;moniliforme;6;11;absent;absent;absent;absent;absent;well developed;6-7;8-9;17;plusieurs lames;30;50;3;9;350;550;cylindrique;aucun;souple;rosƒtre;faible;longitudinale ‚l‚mentaire;holon‚phridies
Diporodrilus omodeoi Bouche, 1970;;;15;14;21;32;27;31;moniliforme;6;11;11;14;absent;14;16;well developed;17;18;23;massif;30;50;1,5;2,5;140;180;cylindrique;aucun;souple;rose-blanchƒtre;mince;longitudinale ‚l‚mentaire;ent‚riformes lin‚aires
Diporodrilus pilosus (Bouche, 1970);;;15;14;23;33;27;32;moniliforme;7;11;10;15;absent;16;17;well developed;19;20;22;massif et micropenn‚;140;175;5;8;2000;4000;cylindrique;aucun;souple;rose-blanchƒtre;moyenne;longitudinale radiaire;ent‚riformes
Haplotaxis gordioides (Hartmann, 1821);;;"11; 12";"12/13;13/14";9;28;absent;absent;nd;nd;;absent;absent;absent;absent;absent;present;4;6;nd;;180;400;0,3;2;80;210;cylindrique;aucun;rigide;rosƒtre;moyenne;;
Hemigastrodrilus monicae Bouche, 1970;;;15;14;13;21;15;20;moniliforme;10;11;10;14;absent;absent;absent;present;6;8;16;7-8 lamelles;40;100;4;6;610;1815;cylindrique;aucun;souple;rose-blanchƒtre;mince;longitudinale ‚l‚mentaire;ent‚riformes
Hormogaster praetiosa (Michaelsen, 1899);;;15;14;15;29;23;28;moniliforme;6;11;absent;absent;absent;absent;absent;present;6;9;19;12 … 18 lamelles;240;380;8;13;6100;15000;quadrangulaire;clitellien;souple;br–natre;‚paisse;longitudinale radiaire;massives
Hormogaster redii insularis Bouche, 1970;insularis;;"15;16";14;13;25;15;29;moniliforme;5;11;absent;absent;absent;absent;absent;weakly developed;6;8;26;10 lamelles;300;350;10;12;8000;14000;cylindrique;clitellien faible;souple;grisƒtre;mince;longitudinale interm‚diaire;ent‚riformes
Hormogaster samnitica lirapora (Bouche, 1970);lirapora;;"15;16";"14;15";13;23;absent;absent;moniliforme;6;11;absent;absent;absent;absent;absent;present;6;8;24;7-8 lamelles;100;150;7;8;3000;3800;cylindrique;clitellien et caudal;souple;rosƒtre;‚paisse;longitudinale interm‚diaire;holon‚phridies
Vignysa teres (Duges, 1828);;;15;14;14;25;21;24;moniliforme;6;11;absent;absent;absent;absent;absent;weakly developed;6;7;19;5 lamelles;170;200;3;5,5;1400;2000;cylindrique;clitellien;souple;rosƒtre;moyenne;longitudinale pavimenteux;ent‚riformes
Allolobophora bartolii bartolii (Bouche, 1970);bartoli;;15;14;34;43;36;41;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;4 lames;60;120;4;7;1020;1410;cylindrique;clitellien;souple;brun-jaunƒtre;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora bartolii meougensis (Bouche, 1970);meougensis;;15;14;31;44;34;41;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;4 lames;60;120;4;7;1020;1410;cylindrique;clitellien;souple;brun-jaunƒtre;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora burgondiae Bouche, 1972;burgondiae;;15;14;28;38;31;37;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;19;bifide (2 lamelles);75;80;3;5;700;980;cylindrique;clitellien;souple;rosƒtre;‚paisse;longitudinale radiaire;ent‚riformes
Allolobophora chaetophora (Bouche, 1972);chaetophora;;15;14;27;36;26;36;moniliforme;4;11;10;11;absent;15;16;present;17;18;22;bifide;170;190;3;5;1600;2000;cylindrique;ventral;souple;brun;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Allolobophora chlorotica chlorotica (Savigny, 1826);chlorotica;chlorotype;15;14;29;37;30;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora chlorotica chlorotica (Savigny, 1826);chlorotica;ind‚termin‚e;15;14;29;37;30;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora chlorotica chlorotica (Savigny, 1826);chlorotica;leucotype;15;14;29;37;30;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora chlorotica chlorotica (Savigny, 1826);waldensis;;15;14;29;37;30;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale interm‚diaire;ent‚riformes
Allolobophora chlorotica postepheba Bouche, 1972;postepheba;leucotype;15;14;30;38;31;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora chlorotica postepheba Bouche, 1973;postepheba;inter;15;14;30;38;31;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora chlorotica postepheba Bouche, 1974;postepheba;chlorotype;15;14;30;38;31;36;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;20;bifide (2 lamelles);50;80;3;7;500;700;cylindrique;clitellien faible;souple;vert;moyenne;longitudinale radiaire;ent‚riformes
Allolobophora moravica Pizl & Houskova, 1993;depressa;;15;14;25;30;25;30;moniliforme;7;11;11;14;absent;15;16;present;17;18;19;penn‚;95;190;6;9;2700;3500;cylindriqure;caudal;rigide;gris-verdƒtre;‚paisse;longitudinale penn‚;ent‚riformes
Allolobophora satchelli Bouche, 1972;;;15;14;23;33;30;32;moniliforme;6;11;10;14;bilobated in 10;15;16;well developed;17;18;17;deux grandes bandes lat‚rales et deux petites m‚dianes;40;50;2;3,5;300;460;cylindrique;aucun;souple;aucune;moyenne;longitudinale ‚l‚mentaire;
Allolobophora zicsii Bouche, 1972;;;15;14;26;34;27;33;moniliforme;6;11;10;14;lobated in 10;15;16;well developed;17;18;20;penn‚;70;90;1,5;2,5;320;360;cylindrique;clitellien;souple;rosƒtre;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
Aporrectodea arverna (Bouche, 1969);;;15;14;26;34;31;33;moniliforme;6;11;10;14;bilobated, reduced in 10;15;16;present;17;18;22;penn‚;80;100;5;6;900;1350;subtrap‚zo‹dale;caudale en fer de lance;rigide;rouge pourpre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea balisa (Bouche, 1972);;;15;14;27;35;30;34;moniliforme;6;11;10;14;bilobated in 10;15;16;weakly developed;17;19;24;penn‚;270;350;7;9;8000;12000;subtrap‚zo‹dale;caudal;rigide;iris‚ brun;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea caliginosa alternisetosus (Bouche, 1972) ;alternisetosus;;15;14;27;35;31;33;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;21;bifide;120;160;7;9;500;1800;cylindrique;caudal;souple;aucune;‚paisse;longitudinale penn‚;ent‚riformes
Aporrectodea caliginosa caliginosa (Savigny, 1826);caliginosus;;15;14;27;34;31;33;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;21;bifide;60;80;3,5;4,5;180;840;cylindrique;caudal;souple;aucune;faible;longitudinale penn‚;ent‚riformes
Aporrectodea caliginosa caliginosa (Savigny, 1826);cistercianus;;15;14;28;34;31;33;moniliforme;6;11;10;14;;;;;17;18;19;penn‚ ou 2, 3, 5 lamelles;90;180;4;5;1950;2650;subtrap‚zo‹dale;caudal;rigide;iris‚ brun-noir;mince;longitudinale penn‚;ent‚riformes
Aporrectodea caliginosa caliginosa (Savigny, 1826);nocturnus;;15;14;28;34;31;33;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;penn‚ ou 2, 3, 5 lamelles;90;180;4;5;1950;2650;subtrap‚zo‹dale;caudal;rigide;iris‚ brun-noir;mince;longitudinale penn‚;ent‚riformes
Aporrectodea caliginosa meridionalis (Bouche, 1972);meridionalis;;15;14;27;34;31;33;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;penn‚;85;110;2,5;4;310;950;subtrap‚zo‹dale;caudal;rigide;iris‚ brun fonc‚;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea cupulifera (Tetry, 1937);;;15;14;26;32;27;31;moniliforme;6;11;10;13;lobated in 10;14;15;weakly developed;16;17;18;penn‚;35;50;2;2,5;220;250;cylindrique;caudal;souple;rose-grisƒtre;moyenne;longitudinale radiaire;ent‚riformes
Aporrectodea georgii (Michaelsen, 1890);;;15;14;29;35;29;33;moniliforme;6;11;10;13;bilobated in 10;14;15;present;16;17;20;penn‚;35;55;1,5;2,5;150;280;cylindrique;caudal;souple;rose-grisƒtre;moyenne;longitudinale interm‚diaire;ent‚riformes
Aporrectodea giardi (Ribaucourt, 1901);terrestris;;15;14;27;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;bifide;150;250;5;7;1520;3150;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ brun-noir;‚paisse;longitudinale penn‚;ent‚riformes
Aporrectodea giardi (Ribaucourt, 1901);terrestris;eduensis;15;14;27;36;32;34;moniliforme;6;11;10;14;;;;;17;18;22;bifide;150;250;5;7;1520;3150;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ brun-noir;‚paisse;longitudinale penn‚;ent‚riformes
Aporrectodea giardi (Ribaucourt, 1901);terrestris;lemovicus;15;14;28;36;32;34;moniliforme;6;11;10;14;;;;;17;18;22;2 … 3 lamelles;150;250;5;7;1520;3150;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ brun-noir;‚paisse;longitudinale penn‚;ent‚riformes
Aporrectodea giardi voconcus (Bouche, 1972) ??;voconcus;;15;14;26;36;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;bifide;150;250;5;7;1520;3150;subtrap‚zo‹dale;clitellien et caudal;rigide;brun;‚paisse/moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea gogna (Bouche, 1972);;;15;14;24;37;31;35;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;19;23;penn‚;320;380;7;10;7200;8800;subtrap‚zo‹dale;caudal;rigide;iris‚ brun fonc‚;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea icterica (Savigny, 1826);icterica;;15;14;34;43;36;42;moniliforme;6;11;10;13;bilobated in 10;15;16;well developed;16;18;19;qq lamelles;70;90;3;4;700;1200;cylindrique;aucun;souple;rosƒtre;moyenne;longitudinale interm‚diaire;ent‚riformes
Aporrectodea longa longa (Ude 1885);longus;ambiguus;15;14;28;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;penn‚;130;170;5,5;8;1200;3800;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ gris-noirƒtre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea longa longa (Ude 1885);longus;amplisellus;15;14;28;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;penn‚;130;170;5,5;8;1200;3800;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ gris-noirƒtre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea longa longa (Ude 1885);ripicola;;15;14;28;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;reduit;130;170;5,5;8;1200;3800;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ gris-noirƒtre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea longa longa (Ude 1885);ripicola;viridis;15;14;28;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;penn‚;130;170;5,5;8;1200;3800;subtrap‚zo‹dale;clitellien et caudal;rigide;vert;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea longa longa (Ude, 1885);longus;;15;14;28;35;32;34;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;19;penn‚;130;170;5,5;8;1200;3800;subtrap‚zo‹dale;clitellien et caudal;rigide;iris‚ gris-noirƒtre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea rosea (Savigny, 1826);rosea;;15;14;26;31;29;30;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;21;bifide;40;70;2;3,5;150;280;cylindrique;clitellien;souple;rosƒtre;moyenne;longitudinale penn‚;ent‚riformes
Aporrectodea rubra (Vedovini, 1969);acidicola;;15;14;25;32;27;31;moniliforme;6;11;10;14;bilobated, reduced in 10;15;16;well developed;17;18;22;penn‚;80;100;3,5;5;750;1200;cylindrique;aucun;souple;rouge vineux;mince;longitudinale interm‚diaire;ent‚riformes
Aporrectodea rubra (Vedovini, 1969);rubicundus;;15;14;25;32;27;30;moniliforme;7;11;10;14;bilobated, reduced in 10;15;16;well developed;17;18;21;penn‚;80;100;3;5;600;1250;cylindrique;caudal;souple;rouge pourpre;moyenne;longitudinale radiaire;ent‚riformes
Aporrectodea tiginosa Bouche, 1972;;;15;14;21;36;27;29;moniliforme;6;11;absente;absente;absent;15;16;well developed;18;18;24;bifide plus ou moins penn‚;50;75;1,5;2,5;215;295;cylindrique;clitellien;souple;rose;mince;longitudinale ‚l‚mentaire;ent‚riformes
Aporrectodea velox (Bouche, 1967);;;15;14;25;36;30;34;moniliforme;6;11;10;14;rudimentary in 10;15;16;well developed;17;19;23;penn‚;400;570;4,5;7;9750;9750;cylindrique;caudal;rigide;iris‚ brun-noir;‚paisse;longitudinale interm‚diaire;ent‚riformes
Avelona ligra (Bouche, 1969);;;15;14;29;36;32;35;moniliforme;6;11;10;14;bilobated in 10;15;16;present;17;18;22;bifide - penn‚;40;80;5;7;120;195;cylindrique;auncun;souple;bleuƒtre;moyenne;longitudinale ‚l‚mentaire;ent‚riformes
